"2","China's Offshore Oil Corporation","2016-12-05",NULL,NULL,NULL,NULL,"PARM","A_1","A_1004","C_16","R_10",NULL,"D_1","15","F_0","E_1"
"3","Bolivian Energy Minister Rafael Alarcon","2017-08-19",NULL,NULL,NULL,NULL,"PARM","A_1","A_1011","C_1","R_15",NULL,"D_1","9",NULL,"E_2"
"4","China's Offshore Oil Corporation","2016-12-05",NULL,NULL,NULL,NULL,"PARM","A_1","A_1004","C_7","R_10",NULL,"D_1","16",NULL,"E_1"
"5","People's Republic of China","2911-03-29",NULL,NULL,NULL,NULL,"PARM","A_4","A_1006","C_1","R_13",NULL,"D_11","17","F_1","E_1"
"6","N/A","2017-08-19",NULL,NULL,NULL,NULL,"PARM","A_1","A_1005","U_9999","U_9999",NULL,"D_1","10",NULL,"E_2"
"7","Alibaba Group Holding Ltd","2021-01-05",NULL,NULL,NULL,NULL,"PARQ","A_4","A_4001","C_9","R_14",NULL,"D_0","14",NULL,"E_2"
"8","China’s West Pacific Petrochemical Corp","2019-07-18",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_9","R_11",NULL,"U_9999","23",NULL,"E_1"
"9","Unclear","2013-06-01",NULL,"975000000.00",NULL,NULL,"PARM","A_1","A_1007","C_5","R_14",NULL,"D_1","38","F_7","E_1"
"10","China","2020-06-16",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1007","C_1","R_11",NULL,"D_2","26","U_9999","E_2"
"11","PetroChina","2019-07-18",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_7","R_11",NULL,"U_9999","25",NULL,"E_1"
"12","China Export Import Bank","2015-10-17",NULL,NULL,NULL,NULL,"PARM","A_1","A_1007","C_8","R_9",NULL,"D_7","37","F_7","E_1"
"13","Ecuadorian President Lenin Moreno","2020-06-16",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1007","C_2","R_12",NULL,"D_2","27","U_9999","E_2"
"14","Mexico","2019-07-18",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_1","R_12",NULL,"U_9999","24",NULL,"E_1"
"15","Trinidad and Tobago","2020-01-05",NULL,"221000000.00","Churchill Roosevelt Highway, Macoya, Piarco",NULL,"PARM","A_4","A_1011","C_1","R_10",NULL,"D_5","28","F_0","E_1"
"16","China","2021-03-15",NULL,"0.00","China",NULL,"PARM","A_5","A_1002","C_1","R_1",NULL,"D_13","39","F_0","E_1"
"17","Trinidad and Tobago","2015-10-17",NULL,"239000000.00",NULL,NULL,"PARM","A_1","A_1007","C_1","R_1",NULL,"D_7","36","F_7","E_1"
"18","China","2014-04-27",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1002","C_1","R_11",NULL,"D_11","31","F_2","E_1"
"19","China","2021-03-15",NULL,"0.00","China",NULL,"PARM","A_5","A_1002","C_1","R_1",NULL,"D_13","40","F_0","E_1"
"20","Vague","2018-02-01",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1002","C_0","U_9999",NULL,"D_8","32","F_0","E_2"
"21","Chen Xi","2018-04-26",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1002","C_2","R_0",NULL,"D_0","33","F_0","E_1"
"22","China","2021-03-15",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_1","R_10",NULL,"D_0","41","F_4","E_2"
"23","Ruben Cid","2018-04-26",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1002","C_2","R_12",NULL,"D_0","34","U_9999","E_2"
"24","Cuba","2018-04-26",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1002","C_1","R_1",NULL,"D_1","35","F_0","E_2"
"26","Russia","2018-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2002","C_11","R_11",NULL,"D_0","79","F_0","E_2"
"27","RJD","2019-10-23",NULL,"500000000.00","COD",NULL,"PARM","A_1","A_1011","C_9","R_10",NULL,"D_10","86","F_1","E_1"
"28","Russian Federation","2017-12-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_1","71",NULL,"E_1"
"29","Russia","1900-01-01",NULL,NULL,"Central African republic",NULL,"PARM","A_4","A_1009","C_1","R_1",NULL,"D_13","81","F_0","E_2"
"30","RJD","2019-10-23",NULL,"500000000.00","COD",NULL,"PARM","A_1","A_1011","C_9","R_10",NULL,"D_10","87","F_1","E_1"
"31","French President Emmanuel Macron","2018-12-22",NULL,NULL,"Chad",NULL,"PARM","A_3","A_3002","C_2","R_14",NULL,"D_8","76",NULL,"E_1"
"32","Russia","2018-08-21",NULL,NULL,NULL,NULL,"PARM","A_2","A_2002","C_1","R_14",NULL,"D_1","93",NULL,"E_1"
"33","Sudan","2020-11-16",NULL,NULL,"Port of Sudan","This event was a deal that allows Russia to have vessels there.","PARM","A_2","A_2003","C_2","R_1",NULL,"D_1","83","F_1","E_1"
"34","Russian Federation","1900-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_0","72",NULL,"E_1"
"35","Dmitry Medvedev","2019-01-12",NULL,NULL,NULL,NULL,"PARM","A_2","A_2003","C_1","R_14",NULL,"D_1","74","F_1","E_2"
"36","RJD","2019-10-23",NULL,"500000000.00","COD",NULL,"PARM","A_1","A_1011","C_9","R_10",NULL,"D_10","88","F_1","E_1"
"37","Russia","1900-01-19",NULL,NULL,"Sudan",NULL,"PARM","A_2","A_2003","C_1","R_1","15","D_0","75","F_0","E_2"
"38","Russian Mercenaries","2019-02-13",NULL,NULL,"Bambari",NULL,"PARM","A_2","A_2002","C_11","R_2",NULL,"D_11","106",NULL,"E_1"
"39","Russian Defense Ministry","2021-01-27",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2005","C_1","R_10",NULL,"D_11","117","F_2","E_1"
"40","Russian Ministry of Foreign Affairs","2021-01-27",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2005","C_1","R_10",NULL,"D_13","118",NULL,"E_2"
"41","Democratic Republic of Congo","1900-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_1","R_1",NULL,"D_2","100",NULL,"E_2"
"42","Sputnik and RTNC","2019-05-22",NULL,NULL,NULL,"Media partnership.","PARM","A_5","A_5001","C_20","R_1",NULL,"D_10","111","F_1","E_2"
"43","Mr. Matemulane","1500-01-01",NULL,NULL,NULL,NULL,"PARM","A_5","A_1010","C_19","R_10",NULL,"D_0","115",NULL,"E_1"
"44","President Faustin-Archange Touadera","2019-03-03",NULL,NULL,"CAR",NULL,"PARM","A_3","A_3001","C_2","R_14",NULL,"D_4","102",NULL,"E_1"
"45","Russia","2020-12-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_1006","C_1","R_11",NULL,"D_0","119","F_0","E_2"
"46","President Vladimir Putin","2017-01-01",NULL,NULL,"Sochi, Russia",NULL,"PARM","A_3","A_3002","C_2","R_1",NULL,"D_16","107",NULL,"E_1"
"47","Sputnik and RTNC","2019-05-22",NULL,NULL,NULL,NULL,"PARM","A_5","A_5001","C_7","R_1",NULL,"D_1","112","F_1","E_2"
"48","M-Invest","2019-01-01",NULL,NULL,"SDN",NULL,"PARM","A_2","A_1006","C_9","R_10",NULL,"D_11","109","F_0","E_1"
"49","Russian ambassador to Ghana","2019-01-01",NULL,NULL,NULL,NULL,"PARM","A_5","A_1010","C_2","R_11",NULL,"D_1","116",NULL,"E_1"
"50","Leonard She Okitundu","2017-03-01",NULL,NULL,NULL,NULL,"PARM","A_3","A_3003","C_3","R_11",NULL,"D_11","101",NULL,"E_1"
"51","Russia","2019-04-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_11","124",NULL,"E_1"
"52","VTB","1900-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_10","R_11",NULL,"D_0","126","F_0","E_2"
"53","Russia","2020-12-22",NULL,NULL,NULL,"Central African Republic","PARM","A_2","A_2005","C_1","R_11",NULL,"D_2","120","F_2","E_2"
"54","Russian Federation","2019-10-22",NULL,"500000000.00","Sochi, Russian Federation",NULL,"PARM","A_1","A_1011","C_1","R_9",NULL,"D_1","123","F_4","E_1"
"55","Unknown","2018-07-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_5","A_5003","C_0","R_0",NULL,"D_11","125",NULL,"E_1"
"56","Russia","2020-12-22",NULL,NULL,"CAF",NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_16","122",NULL,"E_1"
"57","VTB","2017-07-05",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_10","R_1",NULL,"D_0","127",NULL,"E_2"
"58","Omar Bashir","0009-11-28",NULL,NULL,"Port Sudan, Red Sea","A deal that Bashir proposed before his ousting.","PARM","A_2","A_2003","C_1","R_15",NULL,"D_0","129","F_8","E_1"
"59","Orkhan Dzhemal, Aleksandr Rastorguev and Kirill Radchenko","1600-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2004","C_20","R_4",NULL,"D_11","140","U_9999","E_1"
"60","Russia","2020-12-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_0","121","U_9999","E_1"
"61","Oman Bashir","2019-11-28",NULL,NULL,"Port Sudan, Red Sea",NULL,"PARM","A_2","A_2003","C_1","R_15",NULL,"D_0","130","F_8","E_1"
"62","Omar al-Bashir","2999-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2003","C_2","R_14",NULL,"D_1","141","F_8","E_1"
"63","VTB","0001-01-01",NULL,"2000000000.00",NULL,NULL,"PARM","A_4","A_4001","C_10","R_11",NULL,"D_0","128",NULL,"E_2"
"64","UN soldiers and a humanitarian aid worker","2018-01-01",NULL,NULL,"CAR",NULL,"PARM","A_2","A_2004","C_12","R_4",NULL,"D_11","134",NULL,"E_1"
"65","Alexei Moiseev","2020-02-24",NULL,NULL,NULL,NULL,"PARM","A_4","A_4002","C_3","R_15",NULL,"D_2","147",NULL,"E_1"
"66","DCR Government","2018-01-01",NULL,NULL,"DRC",NULL,"PARM","U_9999","A_1006","C_1","R_10",NULL,"D_11","142",NULL,"E_1"
"67","Russia","2021-02-13",NULL,NULL,"Bangui",NULL,"PARM","A_2","A_2005","C_1","R_10",NULL,"D_8","148","F_2","E_2"
"68","Russia","2019-08-16",NULL,NULL,"Bangui, Central African Republic",NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_11","150","F_2","E_1"
"69","DRC government","2018-01-11",NULL,NULL,NULL,NULL,"PARM","U_9999","A_1006","C_1","R_10",NULL,"D_10","143",NULL,"E_2"
"70","Russia","2018-08-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_11","151","F_2","E_1"
"71","Russian Deputy Foreign Minister Mikhail Bogdanov","2019-04-12",NULL,NULL,"Sudan","Really just a statement from the Russian government to support Sudan through the overthrow of Bashir.","PARM","A_3","A_1006","C_1","R_1",NULL,"D_0","161","F_0","E_1"
"72","DRC government","2018-01-11",NULL,NULL,"Kinshasa, DRC",NULL,"PARM","U_9999","A_1006","C_1","R_10",NULL,"D_11","144",NULL,"E_1"
"73","Russian Federation","2019-01-11",NULL,NULL,"Unknown",NULL,"PARM","A_3","A_3002","C_1","R_1",NULL,"D_8","149",NULL,"E_1"
"74","Facebook","2019-10-30",NULL,NULL,NULL,"Facebook took down Russian-backed facebook networks linked to Yevgeny Prigozhin","PARM","A_5","A_1010","C_9","R_10",NULL,"U_9999","160","U_9999","E_1"
"75","Russian Deputy Foreign Minister Mikhail Bogdanov","2019-04-12",NULL,NULL,"Sudan","A statement that was trying to usher along relations between the countries in a difficult situation. Not much set information because nothing tied to it.","PARM","A_3","A_1006","C_1","R_1",NULL,"D_0","162","F_0","E_1"
"76","Central African Republic","2019-01-01",NULL,NULL,"CAF",NULL,"PARM","A_2","A_2002","C_1","R_10",NULL,"D_8","154","F_0","E_1"
"77","China","2021-02-24",NULL,"0.00","China",NULL,"PARM","A_5","U_9999","C_21","R_0",NULL,"U_9999","163",NULL,"E_1"
"78","China","2020-03-29",NULL,NULL,"Latin America",NULL,"PARM","A_1","A_1007","C_1","R_11",NULL,"D_13","167","F_2","E_2"
"79","Hong Kong","2021-03-11",NULL,NULL,NULL,NULL,"PARM","A_3","A_3003","C_1","U_9999",NULL,"U_9999","173",NULL,"E_2"
"80","Alex Tabor","2014-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_1010","C_21","R_1",NULL,"D_11","179","F_8","E_1"
"81","China","2021-02-24",NULL,"0.00",NULL,NULL,"PARM","A_5","A_0000","C_21","U_9999",NULL,"U_9999","164","F_0","E_1"
"82","China","2021-03-11",NULL,NULL,NULL,NULL,"PARM","A_3","A_3001","C_1","R_14",NULL,"D_1","174",NULL,"E_2"
"83","Felipe Henriquez","2017-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_1004","C_21","R_1",NULL,"U_9999","180","F_0","E_2"
"84","Odebrecht","2017-08-25",NULL,"1390000000.00","Peru",NULL,"PARM","A_4","A_1005","C_16","R_11",NULL,"D_2","165","F_9","E_1"
"85","China","2018-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_1010","C_1","R_9",NULL,"D_0","181","F_4","E_2"
"86","Protestors","2021-03-11",NULL,NULL,NULL,NULL,"PARM","A_2","A_2004","U_9999","R_1",NULL,"U_9999","175",NULL,"E_2"
"87","China","2018-01-01",NULL,NULL,NULL,NULL,"PARM","A_1","A_1006","C_1","R_11",NULL,"D_0","168","U_9999","E_2"
"88","China Railway Construction Company","2021-04-03",NULL,"1900.00","Arima General Hospital",NULL,"PARM","A_1","A_1007","C_9","R_10",NULL,"D_8","170","F_0","E_1"
"89","Odebrecht","2017-08-25",NULL,NULL,NULL,NULL,"PARM","A_4","A_1005","C_16","R_11",NULL,"D_2","166",NULL,"E_1"
"90","China","2021-03-15",NULL,"0.00",NULL,NULL,"PARM","A_1","A_1007","C_1","R_10",NULL,"U_9999","191","F_9","E_2"
"91","China","2020-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_1","R_10",NULL,"D_0","197","F_7","E_2"
"92","China","2020-01-30",NULL,NULL,NULL,NULL,"PARM","A_4","A_1004","C_1","R_12",NULL,"D_13","201","F_9","E_2"
"93","China","2021-03-15",NULL,"0.00","China",NULL,"PARM","A_1","A_1007","C_1","R_10",NULL,"U_9999","192","F_9","E_2"
"94","China","2020-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_1","R_10",NULL,"D_10","198","F_7","E_2"
"95","China’s Xinjiang TBEA Group Co Ltd","2019-02-06",NULL,NULL,NULL,NULL,"PARM","A_4","A_1009","C_16","R_1",NULL,"D_4","186","F_6","E_1"
"96","China","2021-03-10",NULL,NULL,NULL,"Partnership","PARM","A_4","U_9999","C_1","R_1",NULL,"D_1","188",NULL,"E_1"
"97","OPEC","2020-01-30",NULL,NULL,NULL,NULL,"PARM","A_4","A_1004","C_5","R_1",NULL,"D_13","202","U_9999","E_2"
"98","China’s Xinjiang TBEA Group Co Ltd","2019-02-06",NULL,NULL,NULL,NULL,"PARM","A_4","A_1009","C_16","R_1",NULL,"D_4","187","F_6","E_1"
"99","Brazil","2020-01-30",NULL,NULL,NULL,NULL,"PARM","A_4","A_1004","C_1","R_11",NULL,"D_0","203","F_9","E_2"
"100","Shanghai Construction","2019-02-08",NULL,"1000000000.00",NULL,NULL,"PARM","A_1","A_1007","C_9","R_10",NULL,"D_1","199","F_1","E_1"
"101","USA","2021-03-10",NULL,NULL,NULL,NULL,"PARM","U_9999","U_9999","C_1","R_10",NULL,"D_2","190",NULL,"E_1"
"102","Chinese Trader","2020-01-30",NULL,NULL,NULL,NULL,"PARM","A_4","A_1004","C_21","R_15",NULL,"U_9999","204","F_0","E_1"
"103","China Railway","2021-02-08",NULL,NULL,NULL,NULL,"PARM","A_1","A_1007","C_9","R_10",NULL,"D_1","200","F_0","E_1"
"104","Huawei","2019-05-09",NULL,"0.00","Mexico",NULL,"PARM","A_1","A_1011","C_9","R_10",NULL,"D_13","193","F_0","E_1"
"105","China","2021-03-10",NULL,NULL,NULL,NULL,"PARM","A_3","U_9999","C_1","R_1",NULL,"D_1","189",NULL,"E_1"
"106","China","2020-01-30",NULL,NULL,NULL,NULL,"PARM","A_4","A_1004","C_1","R_12",NULL,"D_13","205","F_0","E_2"
"107","China Gezhouba Group Co Ltd","2017-08-28",NULL,NULL,NULL,NULL,"PARM","A_1","A_1005","C_16","R_10",NULL,"D_1","206","F_1","E_2"
"118","Russia","2017-01-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_13","212","F_2","E_2"
"119","CAR Rebel Groups","2018-08-29",NULL,NULL,"Khartoum, Sudan",NULL,"PARM","A_1","A_3002","C_14","R_14",NULL,"D_10","210",NULL,"E_1"
"120","Russian Federation","0001-01-01",NULL,NULL,NULL,"General Trend","PARM","A_2","A_2002","C_1","R_11",NULL,"D_0","219",NULL,"E_2"
"121","Russia","2017-12-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_11","224","F_0","E_1"
"122","Russia","2019-01-11",NULL,NULL,NULL,NULL,"PARM","A_2","A_2003","C_1","R_10",NULL,"D_2","227",NULL,"E_2"
"123","Russia","2018-08-01",NULL,NULL,"CAR",NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_10","211","F_0","E_2"
"124","Russia","2018-11-26",NULL,"12000000000.00","CAR",NULL,"PARM","A_4","A_4001","C_1","R_9",NULL,"D_11","214","F_7","E_1"
"125","Unknown, but probably Wagner","2018-08-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_5","A_5003","C_0","R_2",NULL,"D_11","235",NULL,"E_1"
"126","President Touadera","2017-10-01",NULL,NULL,"Sochi, Russia",NULL,"PARM","A_2","A_4001","C_2","U_9999",NULL,"U_9999","213","U_9999","E_2"
"127","Russia","2019-01-11",NULL,NULL,NULL,NULL,"PARM","A_2","A_2003","C_1","R_10",NULL,"D_2","228",NULL,"E_1"
"128","Russian Federation","2019-10-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2003","C_1","R_9",NULL,"D_2","231","F_0","E_2"
"129","Russia","2018-11-26",NULL,"12000000000.00","CAR",NULL,"PARM","A_4","A_4001","C_1","R_9",NULL,"D_11","215","F_7","E_1"
"130","Russia","2018-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_13","225","F_2","E_1"
"131","Wagner Group","2018-07-01",NULL,NULL,NULL,NULL,"PARM","A_5","A_5003","C_11","R_2",NULL,"D_11","220",NULL,"E_1"
"132","Russia","2017-12-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_8","239",NULL,"E_1"
"133","Russia","2019-01-11",NULL,NULL,NULL,NULL,"PARM","A_2","A_2005","C_1","R_11",NULL,"D_8","229",NULL,"E_2"
"134","Wagner","2018-08-01",NULL,NULL,"Sibut, CAR",NULL,"PARM","A_2","A_5003","C_11","R_0",NULL,"D_11","247","F_0","E_1"
"135","Russian Federation","2018-08-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_2003","C_1","R_10",NULL,"D_10","223",NULL,"E_2"
"136","Russia","2018-12-01",NULL,NULL,NULL,NULL,"PARQ","A_1","A_3003","C_1","R_10",NULL,"D_11","243",NULL,"E_1"
"137","Russia","2018-01-01",NULL,NULL,NULL,NULL,"PARQ","A_2","A_2002","C_1","R_11",NULL,"D_11","244",NULL,"E_1"
"138","Russian Federation","2017-12-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_1","248",NULL,"E_1"
"139","Russia","0001-01-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2002","C_1","R_11",NULL,"D_8","253",NULL,"E_2"
"140","CAR","2017-09-01",NULL,NULL,NULL,NULL,"PARM","A_1","A_0000","C_1","R_10",NULL,"D_11","262","F_0","E_1"
"141","France and Russia","2018-01-01",NULL,NULL,NULL,NULL,"PARQ","A_2","A_2001","C_1","R_11",NULL,"D_11","245",NULL,"E_1"
"142","Russian military","2017-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2002","C_6","R_11",NULL,"D_13","259",NULL,"E_2"
"143","Russian Federation","2018-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_10","249",NULL,"E_2"
"144","France","2018-10-29",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2002","C_1","R_15",NULL,"D_0","265","U_9999","E_1"
"145","Karim Meckassoua","2018-10-01",NULL,NULL,NULL,NULL,"PARM","A_3","A_1006","C_2","R_0",NULL,"D_0","268",NULL,"E_2"
"146","Russia","2017-01-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_11","260",NULL,"E_1"
"147","Russia","2018-01-01",NULL,NULL,NULL,NULL,"PARQ","A_1","A_3003","C_1","R_9",NULL,"D_11","246",NULL,"E_1"
"148","Faustin-Archange Touadéra","2018-03-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2002","C_2","R_1",NULL,"D_10","250",NULL,"E_2"
"149","Karim Meckassoua","2018-10-01",NULL,NULL,NULL,NULL,"PARM","A_3","A_1006","C_2","R_0",NULL,"D_0","269",NULL,"E_2"
"150","Russia","1000-01-01",NULL,NULL,NULL,NULL,"PARM","A_4","A_4001","C_1","R_13",NULL,"D_1","263","F_0","E_1"
"151","Russia","2018-03-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_3","A_3002","C_1","R_14",NULL,"D_11","255",NULL,"E_1"
"152","Karim Meckassoua","2018-10-01",NULL,NULL,NULL,NULL,"PARM","A_3","A_1006","C_2","R_0",NULL,"D_0","270",NULL,"E_2"
"153","Three Russian journalists","2018-01-01",NULL,NULL,NULL,NULL,"PARM","U_9999","A_5003","C_20","R_4",NULL,"D_11","261",NULL,"E_1"
"154","United Nations Security Council","2017-01-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_2","A_2001","C_15","R_14",NULL,"D_8","266","U_9999","E_1"
"155","Russia","2018-01-26",NULL,NULL,NULL,NULL,"PARM","A_2","A_2001","C_1","R_11",NULL,"D_11","264",NULL,"E_1"
"156","Russia","2018-01-01",NULL,NULL,"Central African Republic",NULL,"PARM","A_3","A_4001","C_1","R_14",NULL,"D_13","257",NULL,"E_2"
"157","Russian Officials","2018-03-01",NULL,NULL,NULL,NULL,"PARM","A_2","A_2005","C_3","R_1",NULL,"D_11","251",NULL,"E_1"
